id,countryid,recorddate,cases,deaths
7202,217,2020-03-24,0,35
7203,217,2020-03-23,0,41
7204,217,2020-03-22,1,67
7205,217,2020-03-21,0,30
7206,217,2020-03-20,1,31
7207,217,2020-03-19,0,18
7208,217,2020-03-18,0,14
7209,217,2020-03-17,0,9
7210,217,2020-03-16,0,11
7211,217,2020-03-15,0,11
7212,217,2020-03-14,1,3
7213,217,2020-03-13,0,12
7214,217,2020-03-11,0,7
7215,217,2020-03-09,0,3
7216,217,2020-03-08,1,1
7217,217,2020-03-07,0,6
7218,217,2020-03-06,0,1
7219,217,2020-03-04,0,1
7220,218,2020-06-14,6,723
7221,218,2020-06-13,13,612
7222,218,2020-06-12,18,566
7223,218,2020-06-11,10,428
7224,218,2020-06-10,6,350
7225,218,2020-06-09,11,195
